관광지명,관광지구분,소재지도로명주소,소재지지번주소,위도,경도,면적,공공편익시설정보,숙박시설정보,운동및오락시설정보,휴양및문화시설정보,접객시설정보,지원시설정보,지정일자,수용인원수,주차가능수,관광지소개,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명,
신륵사관광지,관광지,경기도 여주시 신륵사길 73,경기도 여주시 천송동 289-7,37.299986,127.6545225,947268,관광안내소+주차장,관광호텔+여관+콘도,물놀이장+오락장,청소년 수련실+야외음악당,,,1978-02-11,4070,1830,"시원한 남한강을 따라 자전거도로, 각종 체육시설과 여주박물관, 도자세상, 농특산물 판매장이 있으며, 매년 여주도자기축제와 오곡나루축제가 이곳에서 개최되고 있다. 특히 남한강을 가르는 황포돛배(Yellow Sail boat)와 수상레저를 즐길 수 있는 가족 연인들의 나들이 공간이다",031-887-2070,경기도 여주시청 문화관광과,2019-03-29,5700000,경기도 여주시,
무극전적국민관광지,관광지,충청북도 음성군 음성읍 생음대로 594 일원,충청북도 음성군 음성읍 소여리 897,36.9511967,127.6468141,18499,감우재전승기념관+화장실+주차장,,,,,,1985-06-08,100,15,6·25전쟁 당시 격전지였던 곳으로써 남한이 최초로 승전하여 국군의 사기를 드높였음,043-871-5930,충청북도 음성군청,2019-06-24,4470000,충청북도 음성군,
통도사,관광지,경상남도 양산시 하북면 통도사로 108,경상남도 양산시 하북면 지산리 583,35.4985356788,129.050951372,16855179,http://www.yangsan.go.kr/tour/main.do,http://www.yangsan.go.kr/tour/main.do,http://www.yangsan.go.kr/tour/main.do,http://www.yangsan.go.kr/tour/main.do,http://www.yangsan.go.kr/tour/main.do,http://www.tongdosa.or.kr/kor/,2000-01-01,50000,1500,http://www.tongdosa.or.kr/kor/,055-382-7182,통도사,2019-09-11,5380000,경상남도 양산시,
내원사계곡(내원사),관광지,경상남도 양산시 하북면 내원로 2017,경상남도 양산시 하북면 용연리 291,35.4457853631,129.110450802,13221,http://www.yangsan.go.kr/tour/main.do,http://www.yangsan.go.kr/tour/main.do,http://www.yangsan.go.kr/tour/main.do,http://www.yangsan.go.kr/tour/main.do,http://www.yangsan.go.kr/tour/main.do,http://www.naewon.or.kr/main,2000-01-01,5000,300,http://www.yangsan.go.kr/tour/main.do,055-374-6466,내원사,2019-09-11,5380000,경상남도 양산시,
홍룡폭포(홍룡사),관광지,경상남도 양산시 상북면 홍룡로 372,경상남도 양산시 상북면 대석리 1,35.3970035,129.0864895,4499,http://www.yangsan.go.kr/tour/main.do,http://www.yangsan.go.kr/tour/main.do,http://www.yangsan.go.kr/tour/main.do,http://www.yangsan.go.kr/tour/main.do,http://www.yangsan.go.kr/tour/main.do,http://www.yangsan.go.kr/tour/main.do,2000-01-01,3000,150,http://www.yangsan.go.kr/tour/main.do,055-375-4177,홍룡사,2019-09-11,5380000,경상남도 양산시,
대운산자연휴양림,관광지,경상남도 양산시 탑골길 208-124,경상남도 양산시 용당동 산66,35.41784975,129.208899561,2400000,http://www.yssisul.or.kr/dwhuyang/cmm/main/mainPage.do,http://www.yssisul.or.kr/dwhuyang/cmm/main/mainPage.do,http://www.yssisul.or.kr/dwhuyang/cmm/main/mainPage.do,http://www.yssisul.or.kr/dwhuyang/cmm/main/mainPage.do,http://www.yssisul.or.kr/dwhuyang/cmm/main/mainPage.do,http://www.yssisul.or.kr/dwhuyang/cmm/main/mainPage.do,2009-07-01,650,192,http://www.yssisul.or.kr/dwhuyang/cmm/main/mainPage.do,055-366-9566,양산시시설관리공단,2019-09-11,5380000,경상남도 양산시,
법기수원지,관광지,경상남도 양산시 동면 법기로 198-13,경상남도 양산시 동면 법기리 332,35.34825271,129.1079758,680000,http://www.yangsan.go.kr/tour/main.do,http://www.yangsan.go.kr/tour/main.do,http://www.yangsan.go.kr/tour/main.do,http://www.yangsan.go.kr/tour/main.do,http://www.yangsan.go.kr/tour/main.do,http://www.yangsan.go.kr/tour/main.do,2010-07-01,20000,110,http://www.yangsan.go.kr/tour/main.do,055-392-5379,부산명장정수사업소,2019-09-11,5380000,경상남도 양산시,
양산타워,관광지,경상남도 양산시 동면 강변로 264-1,경상남도 양산시 동면 석산리 652,35.32782588,129.027601215,135,http://www.yangsan.go.kr/tour/main.do,http://www.yangsan.go.kr/tour/main.do,http://www.yangsan.go.kr/tour/main.do,http://www.yangsan.go.kr/tour/main.do,http://www.yangsan.go.kr/tour/main.do,http://www.yangsantower.com/,2008-01-01,700,70,http://www.yangsantower.com/,055-367-9026,양산시,2019-09-11,5380000,경상남도 양산시,
에덴밸리,관광지,경상남도 양산시 원동면 어실로 1206,경상남도 양산시 원동면 대리 1040-1,35.42905699,128.9845146,2446280,http://www.yangsan.go.kr/tour/main.do,http://www.edenvalley.co.kr/,http://www.edenvalley.co.kr/,http://www.edenvalley.co.kr/,http://www.edenvalley.co.kr/,http://www.edenvalley.co.kr/,2007-12-20,17000,1400,http://www.edenvalley.co.kr/,055-379-8000,㈜에덴밸리리조트,2019-09-11,5380000,경상남도 양산시,
통도환타지아,관광지,경상남도 양산시 하북면 통도7길 68,경상남도 양산시 하북 면순지리 470,35.4975353989,129.084278529,280991,http://www.fantasia.co.kr/main.htm,http://www.fantasia.co.kr/main.htm,http://www.fantasia.co.kr/main.htm,http://www.fantasia.co.kr/main.htm,http://www.fantasia.co.kr/main.htm,http://www.fantasia.co.kr/main.htm,1993-04-30,10000,2100,http://www.fantasia.co.kr/main.htm,055-379-7000,㈜동일리조트,2019-09-11,5380000,경상남도 양산시,
